"question","answer"
" چه اطلاعاتی قابل درج در حکم کارگزینی است؟ " , "􈠠0- نام سازمان؛ 2- کد پرسنلی؛ 3- نام؛ 4- نام خانوادگی؛ 5- نام پدر؛ 6- شماره شناسنامه؛ 7- استان محل صدور؛ 8- شهرستان محل صدور؛ 9- بخش محل صدور؛ 10- تاریخ تولد؛ 11- محل تولد؛ 12- مدرک تحصیلی؛ 13- رشته تحصیلی؛ 14- عنوان پست سازمانی؛ 15- شماره پست؛ 16- گروه؛ 17- سنوات خدمت (سال)؛ 18- سنوات خدمت (ماه)؛ 19- سنوات خدمت(روز)؛ 20- واحد سازمانی؛ 21- رسته شغلی؛ 22- رشته شغلی؛ 23- طبقه؛ 24- استان محل خدمت؛ 25- شهرستان محل خدمت؛ 26- بخش محل خدمت؛ 27- وضعیت تاهل؛ 28- تعداد فرزندان؛ 29- ضریب افزایش سنواتی؛ 30- نوع حکم؛ 31- شرح حکم؛ 32- جمع حقوق و فوق العاده‌ها(عدد)؛ 33- جمع حقوق و فوق العاده‌ها (حروف)؛ 34- تاریخ صدور؛ 35- تاریخ اجرای حکم؛ 36- شماره حکم؛ 37- عنوان پست مقام مسئول؛ 38- نام مقام مسئول؛ 39- بالاترین مدرک و رشته تحصیلی (برای جانبازان)؛ 40- وضعیت نظام وظیفه؛ 41- تاریخ ورود به سازمان؛ 42- نشانی؛ 43- توضیحات اطلاعات تکمیلی؛ 44- کد ملی؛ 45- تاریخ آغاز قرارداد؛ 46- تاریخ پایان قرارداد؛ 47- درصد سنوات عادی؛ 48- درصد سنوات ایثارگری؛ 49- درصد سنوات سایر؛ 50- عنوان سازمانی؛ 51- نوع استخدام؛ 52- شماره مستخدم؛ 53- تصویر پرسنل؛ 54- سنوات خدمت غیرمرتبط (سال)؛ 55- سنوات خدمت غیرمرتبط (ماه)؛ 56-سنوات خدمت غیرمرتبط (روز)؛ 57- جانباز بودن؛ 58- آزاده بودن؛ 59- رزمنده بودن؛ 60- ویژگی اول؛ 61- ویژگی دوم؛ 62- ویژگی سوم؛ 63- ویژگی چهارم؛ 64- ویژگی پنجم؛ 65- ویژگی ششم؛ 66- ویژگی هفتم؛ 67- ویژگی هشتم؛ 68- ویژگی نهم؛ 69- ویژگی دهم؛ 70- ویژگی یازدهم؛ 71- ویژگی دوازدهم؛ 72- ویژگی سیزدهم؛ 73- ویژگی چهاردهم؛ 74-سال سنوات؛ 75- ماه سنوات؛ 76- روز سنوات؛ 77- وضعیت بایگانی؛ 78- نوع همکاری؛ 79- گروه استحقاقی؛ 80- گروه ایثارگری؛ 81- گروه تشویقی؛ 82- عنوان برچسب حکم؛ 83- مدرک تحصیلی؛ 84- بالاترین سطح واحد سازمانی؛ 85- سطح دوم واحد سازمانی؛ 86- سطح سوم واحد سازمانی؛ 87- مدرک تحصیلی شغل؛ 88- تجربه شغل؛ 89- کد شغل؛ 90- فرزند شهید بودن؛ 91- رتبه شغلی؛ 92- درجه نیاز مدرک؛ 93- جنسیت؛ 94- واحد مامور؛ 95- تاریخ استخدام در سازمان؛ 96- خانواده شهداء بودن. "
" چگونه می‌توان پیش فرض کاغذ گزارش را از حالت Portrait به Landscape تغییر داد؟ " , "􈠠با استفاده از کلید ترکیبی Alt+Y در فرم "گزارش‌های ذخیره شده" پیش فرض کاغذ برای گزارش چاپی انتخاب شده بین این دو حالت سویچ شده واین تغییر ذخیره می‌شود. "
" چرا مبالغ نمایش داده شده در قسمت محاسبه مانده و گردش سرفصلها، با دفتر حساب مغایرت دارد؟ " , "􈠠به دو دلیل ممکن است این اتفاق رخ دهد: وضعیت تمامی اسناد باید در حالت ثبت شده باشد، زیرا امکان محاسبه مانده و گردش حساب در فرم مدیریت سرفصلها تنها اسناد ثبت شده را محاسبه می کند اما در دفترحساب امکان نمایش اسناد ثبت شده و نشده وجود دارد.تاریخ آغاز در دفتر حساب باید از ابتدای دوره مالی باشد، زیرا امکان محاسبه مانده و گردش حساب در فرم مدیریت سرفصل ها، از ابتدای دوره مالی تا تاریخ جاری را محاسبه می کند. "
" چگونه می‌توان رسید وحواله‌هایی که دکمه حذف آنها غیرفعال است را حذف کرد؟ " , "􈢠در سیستم انبار برحسب مورد رسید و حواله‌های نامعتبری پیدا می شوند که مثلا خالی هستند و یا انباری ندارند و ... و می خواهیم آنها را حذف کنیم ولی دکمه حذف در این رسید و حواله ها که به صورت مستقیم هم صادر نشده‌اند غیرفعال است. برای حذف این اسناد 2 راه وجود دارد: در صورتیکه با هیچ سند ریالی ارتباط نداشته باشند با فشردن دکمه Alt+Shift+3 پیامی برای حذف رسید یا حواله دریافت می‌کنیم.در صورتیکه رسید یا حواله مستقیم باشند یا قابلیت ریالی شدن داشته باشند، می‌توان آن را در یک سند ریالی (ورود/خروج) فراخوانی کرد و پس از آن برگه ریالی را حذف کرد. 🟤 نکته: باید توجه داشت که این وضعیت در حالت عادی دیده نمی شود و به علل مختلفی از جمله مشکلات شبکه، SQL Server و یا قطع ناگهانی ارتباط کلاینت با سرور و ... بوجود می آید. "
" در چه صورت برای کالایی که در عملیات (خرید/فروش و...) شرکت داشته، رسید/حواله صادر نمی شود؟ " , "􈢠در صورتیکه نوع کالا در فرم معرفی کالا، نوع خدمات انتخاب شده باشد. در مجموع به این دلیل از نوع خدمات استفاده می کنیم که برای آن کالا رسید و حواله مقداری صادر نشود و همچنین در کاردکس نیز منعکس نگردد و امکان خروج کالا از انبار بدون داشتن موجودی، وجود داشته باشد. "
" دلیل مشاهده پیغام خطای Timeout Expired هنگام تهیه پشتیبان چیست؟ " , "􈢠زمانی که از طریق سیستم اقدام به تهیه پشتیبان می‌کنید و مدت زمان زیادی سپری می‌شود و عملیات بکاپ‌گیری انجام نمی‌گیرد، این پیغام مشاهده می‌شود. دلایلی نظیر بالا رفتن حجم دیتابیس باعث بروز این مشکل می‌شود.  ابتدا از طریق دیتابیس اقدام به تهیه پشتیبان کنید. اگر پس از بکاپ‌گیری از طریق دیتابیس، مجدداً با خطا مواجه شدید، حتما این موضوع را با همکاران فنی در میان بگذارید. در عین حال راه‌حل‌های زیر نیز قابل اجراست: 1- Shrink کردن دیتابیس از طریق SQL 2- Import اطلاعات دیتابیس در دیتابیس جدید از طریق فرم مدیریت شرکت‌ها 3- جداسازی دوره‌های مالی در دیتابیس‌های مجزا در شرایطی که تعداد دوره‌های مالی زیاد شده باشد (جهت کاهش حجم دیتابیس) 🟤 نکته 1 : توصیه می‌شود پیش از هر اقدام، بکاپ‌گیری از طریق  SQL Server Agent انجام شود.  🟤 نکته 2 : توصیه می‌شود این مورد حتما توسط همکاران پشتیبانی انجام گیرد. "
"چگونه می‌توان فونت و اندازه فونت را به طور کلی در تغییر فرم‌ها تغییر داد؟ " , "􈠠فرم گزارش‌های ذخیره شده/ انتخاب گزارش/ [تنظیمات]. در [تنظیمات]، تغییرات را اعمال کرده سپس با نگه داشتن کلید ترکیبی Alt+Z کروشه [ ] از اطراف تنظیمات برداشته می‌شود که نشان دهنده اعمال تغییرات می‌باشد. "
" چه اطلاعاتی در فرم چاپی چک قابل دسترسی است؟ " , "􈢠در فرم چاپی چک اطلاعات زیر قابل دسترس است: 0- شماره چک; 1- مبلغ چک; 2- تاریخ چک; 3- نام حساب دریافت‌کننده; 4- شرح چک; 5- نام بانک متعهد; 6- نام حساب بانک چک; 7- تاریخ پرداخت; 8- نام تفصیلی اول; 9- نام تفصیلی دوم; 10- نام تفصیلی سوم; 11- نام تفصیلی چهارم; 12- نام تفصیلی پنجم; 13- شماره سند مالی; 14- مبلغ چک با فرمت //مبلغ//; 15- مقدار ارز; 16- نام ارز "
" آیا سند ثبت قطعی شده قابل برگشت است؟ " , "􈢠با توجه به غیرقانونی بودن این عمل از لحاظ مقررات مالی قاعدتا این کار نباید انجام شود. ولی در شرایط خاص اضطراری کاربر مدیر سیستم می‌تواند با فشردن سه بار کلید Alt+Z در فرم برگشت گروهی اسناد اسناد ثبت قطعی شده را مشاهده و آنها را انتخاب کرده و برگشت داد. 🟤 نکته : این موضوع نباید به صورت رسمی در مستندات و مکاتبات پیوست درج شود. "
" چگونه می‌توان در تغییر فرم بین دو عامل تفکیک قائل شد؟ (اگر X بود ... چاپ شود اگر Y بود ...چاپ شود.) " , "􈠠برای اعمال این امکان باید "2 Expression" گذاشته شود. در قسمت عبارت محاسباتی یکی از Expression ها گزینه‌ی اول تایپ می‌شود و در قسمت عبارت شرطی‌اش Param(X)]==A] و در قسمت عبارت محاسباتی Expression دیگر تایپ شود Param(X)]==B] و در قسمت عبارت شرطی‌اش هم Param(60)]==2] قرار داده می‌شود. فقط اشکال این روش برای تایپ جمله این است که همه جمله را سرهم چاپ می‌کند که برای رفع این اشکال کافی است به یک Expression برای هر جمله از دو یا چند Expression استفاده شود. 🟣 مثال: اگر در نظر داشته باشیم بر اساس جنسیت متن‌های مجزا در تغییر فرم اعمال شود، در قسمت شرطی عبارت درج می‌شود  Param(60)]==1] و در قسمت عبارت شرطی متن مورد نظر (برای جنسیت مرد) و در قسمت شرطی دیگر Param(60)]==2] درج شده (برای جنسیت زن) و در قسمت محاسباتی متن مورد نظر را می‌نویسیم. "
" آیا می توان سریال اسناد مالی را به گونه ای تغییر داد که شماره های جدید قابل استفاده داشته باشیم؟ " , "􈢠توجه داشته باشید که اصولا سریال ثبت شده اسناد مالی نباید تغییر کند. ولی در شرایط خاص و بنا به نیاز کاربر در فرم کنترل اسناد حسابداری با فشردن کلید Alt سه بار Z کلیدی با عنوان "انتقال شماره ها" ظاهر خواهد شد و کاربر می تواند با انتخاب شماره مبنا و میزان شماره انتقالی، شماره همه اسناد پس از شماره مبنا را انتقال دهد. به طور مثال کاربر می خواهد پس از سند 240 پنج شماره خالی (241-245) را ایجاد کند. کافی است شماره مبنا را 240 و میزان انتقال را +5 انتخاب کند. به این ترتیب کلیه اسناد با شماره بزرگتر از 240 به 246 به بعد منتقل شده (240 به 246 و 241 به 247 و ...) و شماره 241 تا 245 خالی می شود.  گفتنی ست میزان انتقال می تواند منفی نیز باشد که برای از بین بردن شماره های خالی کاربرد دارد. 🟤 نکته: این موضوع نباید به صورت رسمی در مستندات و مکاتبات پیوست درج شود.  "
" چرا هنگام ورود به برنامه فرم دریافت کلمه رمز ظاهر می شود؟ " , "􈠠-در اولین اجرای برنامه و برای ایجاد دیتابیس common در SQL کد رمز از کاربر دریافت می‌شود، حال اگر سیستم دیتابیس common را پیدا نکند برای ایجاد مجدد آن فرم دریافت کلمه رمز را نمایش می‌دهد. بنابراین نمایش این فرم به دلایل زیر می‌تواند اتفاق بی‌افتد: 1- نام یا IP کامپیوتر سرور تغییر کرده است. (در فایل System.cfg در مسیر نصب برنامه، باید نام کامپیوتر سرور درج شده باشد) 2- سرویس SQL server ممکن است Stop شده باشد یا در دسترس نباشد. 3- دیتابیس common در SQL به حالت Suspect درآمده باشد (خاکستری رنگ شده است) یا Detach شده و وجود ندارد. 4-لاگین sbsc در SQL یا وجود نداشته باشد یا دارای پسورد اشتباه باشد و یا کنترل SystemAdmin برروی آن ست نشده باشد. 5-در SQL SERVER در تب Security باید Authentication روی SQL and windows باشد. "
" چرا گزارش دفتر حساب برای یک حساب خاص، اطلاعاتی را نمایش نمی‌دهد؟ " , "􈢠در هنگام گرفتن گزارش دفتر حساب باید دقت کنیم که این گزارش بر اساس محدوده تاریخی و دوره مالی انتخاب شده نمایش داده می شود و نام حساب و سطح جستجو از متغیرهای انتخاب برای نمایش هستند. برای دریافت گزارش درست متغیرهای فوق باید به درستی انتخاب شوند.  به دلایل زیر ممکن است برخی مشکلات نمایشی در این گزارش رخ دهد: محدوده تاریخی انتخاب شده از دوره مالی دیگری خوانده شده و صحیح نیست (در هنگام تعویض دوره‌های مالی این مشکل پیش می آید).اسناد حسابداری در محدوه زمانی نمایش دفتر حساب در وضعیت ثبت شده نیستند (درصورتیکه در CM فرم دفتر حساب "نمایش دفترحساب با احتساب اسناد ثبت شده" انتخاب شده باشد).شرح آرتیکل سند طولانی است و در هنگام ورود به دفتر حساب پیغام خطا دیده می شود.نام حساب کامل وارد شده است ولی به علت تفاوت با نام اصلی دفتر حساب، سیستم آن را پیدا نکرده است (اشتباه کاربر در ورود و جستجوی نام حساب) و دفتر حساب را خالی می بیند.دوره مالی اشتباه انتخاب شده است.در قسمت تفصیلی 1 تا 5 دفتر، حساب تفصیلی ای که با این حساب گردش ندارد یا با بخشی از آرتیکلها در ارتباط است انتخاب شده است. "
" چرا برخی مواقع سلول‌های انتخاب شده در جداول به رنگ سیاه  و هم رنگ متن در می‌آید؟ " , "􈠠به دلیل ناهمخوانی رنگ انتخابی سلول با Theme سیستم عامل ویندوز این حالت رخ می‌دهد. برای رفع این مشکل می‌توان Theme‌ ویندوز یا رنگ سلول انتخابی (در فرم تنظیمات محیطی) را تغییر داد. "
" چگونه می‌توان شماره های اسناد را بر حسب تاریخ مرتب کرد؟ " , "􈢠معمولا شماره اسناد مالی با تاریخ آنها هماهنگ است، به این معنی که دو سند با دو شماره مختلف یا تاریخ یکسان داشته و یا تاریخ شماره بزرگتر از تاریخ سند با شماره کوچکتر، بزرگتر است. ولی در برخی موارد این هماهنگی از بین می‌رود. اهم این موارد عبارتند از: ورود انبوه اطلاعات مالی جهت به روز کردن اطلاعات موسسه و عدم توجه به توالی تاریخی آنهاسندی که در تاریخ خود ثبت نشده برای حل این مشکل مراحل زیر را دنبال کنید: با کاربر مدیر سیستم وارد سیستم شوید.در فرم کنترل اسناد حسابداری کلید Alt+Z‌ را سه مرتبه وارد کرده و دکمه "شماره گذاری مجدد" را بزنید. شماره سندی که مایلید اسناد بعدی آن به ترتیب تاریخ شماره شوند را وارد کنید. با این کار سیستم به طور خودکار بر حسب تاریخ اسناد مالی شماره‌های جدیدی را به اسناد اختصاص خواهد داد. 🟤 نکته : این موضوع نباید به صورت رسمی در مستندات و مکاتبات پیوست درج شود. "
" منظور از کارتابل در سیستم اتوماسیون اداری چیست؟ " , "􈠠کارتابل، محیطی است که کاربر سیستم اعم از مدیر، کارشناس و کارمند برای مشاهده، رسیدگی و پیگیری امور جاری خود به آن مراجعه می‌کند. در سیستم اتوماسیون پیوست، ابزار کارتابل به صورت الکترونیکی و بازاء پست تعریف شده در اختیار افراد یک سازمان قرار می‌گیرد تا با مراجعه به آن، امور جاری خود را به ساده‌ترین شکل ممکن به انجام رساند.کارتابل در سیستم به سه بخش اصلی جاری ، پیگیری و در دست اقدام تقسیم شده است. کارتابل در اتوماسیون اداری پیوست دارای صفات و ویژگی‌هایی است که عبارتند از :امکان تفویض کارتابل، امکان نظارت، قابلیت پذیرش ورودی‌های جدید، قابلیت مشارکت در فرایندهای گردش کار. #آزمون #سطح1 "
" منظور از کارتابل جاری چیست؟" , "􈠠کارتابل جاری، همان صندوق نامه‌های ورودی هر شخص به شمار می‌رود که در آن نامه‌های خوانده نشده، با قلم درشت‌تر و سیاه‌تر از نامه‌های مشاهده شده متمایز اند. #آزمون#سطح1 "
" منظور از کارتابل پیگیری‌ چیست؟ " , "􈠠کارتابل پیگیری‌، مشابه صندوق نامه‌های ارسالی است و در آن نامه‌هایی که توسط شخص گیرنده خوانده نشده باشد، با قلم درشت‌تر و سیاه‌تر از نامه‌های مشاهده شده توسط دریافت کننده جدا می‌شود. #آزمون#سطح1 "
" علّت تغییر اندازه و نوع فونت‌ها در کارتابل پیگیری‌ چیست؟ " , "􈠠این امکان موجب می‌شود تا با ورود به کارتابل پیگیری‌ متوجه شد که نامه‌های ارسالی توسط دریافت کنندگان مشاهده شده است یا خیر. #آزمون#سطح0 "
" کارتابل‌های جاری و پیگیری از چه بخش‌هایی تشکیل شده‌اند؟ " , "􈠠هر کارتابل می‌تواند ورودی‌های مختلفی را مانند پیش‌نویس‌ها، نامه‌ها، یادداشت‌های اداری، فرم‌ها، ایمیل‌ها و... را شامل شود که هر آیتم با رنگ پاکت‌های متفاوت درکارتابل‎های جاری و پیگیری نمایش داده می‌شود. #آزمون#سطح0 "
" چگونه می‌توان محتویات کارتابل را بصورت دسته بندی شده مشاهده کرد؟ " , "􈠠در محیط کارتابل به وسیله فیلتر که در پایین نوار ابزار  قرار دارد انواع فیلتر مانند همه انواع، ارجاع دهنده، همه ارجحیت‌ها، همه وضعیت‌ها و محدوده تاریخ ارجاع قابل مشاهده است. با کلیک بر روی هر گزینه می توان به وسیله منوی بازشونده (ComboBox) ورودی‌های کارتابل را  دسته‌بندی کرد. #آزمون#سطح0 "
" چگونه می‌توان از سیر گردش یک نامه مطلع شد؟ " , "􈠠جهت مشاهده چرخه ارجاعات آیتم‌ها با انتخاب هر ورودی و یا خروجی در هر یک از کارتابل‌های جاری، در دست اقدام و پیگیری‌ و انتخاب درختواره ارجاعات از نوار ابزار بالای صفحه می‌توان سیر گردش نامه را مشاهده کرد . #آزمون#سطح0 "
